id,name,plus_code,price_level,rating,types,user_ratings_total,lat,lng,closest_metro,closest_metro_km,Quantity of nearest museum,Quantity of nearest art_gallery,Quantity of nearest shopping_mall,Quantity of nearest places_tourist_attraction,Quantity of nearest same establishment,opportunity_take_away,result,"distance_to_center, km"
fc621104fe8cf4fcf86a6a5e64dd8ee786b402b8,Sytaya Akula,"{'compound_code': 'W885+6Q Admiralteyskiy, Saint Petersburg, Russia', 'global_code': '9GFGW885+6Q'}",,3.9,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",37.0,59.9155173,30.30949540000001,['Технологический институт-1'],0.5188180940410483,16,4,9,30,94,0,144.29999999999998,2.2432258309623245
775029dc407f64cd8524c05ba8795d96382e4470,Кальянная Hustle,"{'compound_code': 'W9F4+VH Tsentralny District, Saint Petersburg, Russia', 'global_code': '9GFGW9F4+VH'}",,5.0,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",27.0,59.9246272,30.3563929,['Лиговский проспект'],0.4370383225645053,36,35,34,52,119,0,135.0,2.0800395631862894
cc529e7d0038d813d0afd342936be45fff5bf822,Wood bar,"{'compound_code': 'W9G2+CW Tsentralny District, Saint Petersburg, Russia', 'global_code': '9GFGW9G2+CW'}",2.0,4.7,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",308.0,59.926036,30.352349,['Достоевская'],0.2966785207514418,52,43,49,67,136,0,1447.6000000000001,1.805490163397467
aaf2e3a83371bdd09259f36f4128ee2c0770553a,Кальянная 1/2 OF YOU,"{'compound_code': 'W9J5+9Q Tsentralny District, Saint Petersburg, Russia', 'global_code': '9GFGW9J5+9Q'}",,4.7,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",97.0,59.931,30.359419899999995,['Площадь Восстания'],0.07522573431112049,71,49,36,70,119,0,455.90000000000003,1.9871749483693562
45c6c021f483ca5850a1d97463ca43a8adae03ea,Антикафе-кальянная Terra 13 Lounge,"{'compound_code': 'W8MP+W2 Tsentralny District, Saint Petersburg, Russia', 'global_code': '9GFGW8MP+W2'}",,4.7,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",24.0,59.934828,30.3350216,['Гостиный Двор'],0.11141626891306676,134,80,31,182,80,0,112.80000000000001,0.5948673952053503
f88cd3dce905d490e8df68a2afd811940e0830f7,Кальянная Тайга Lounge,"{'compound_code': 'W9MF+RP Tsentralny District, Saint Petersburg, Russia', 'global_code': '9GFGW9MF+RP'}",,5.0,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",7.0,59.93462299999999,30.374359100000003,['Площадь Восстания'],0.8573471096643649,25,27,7,24,94,0,35.0,2.7905028803776806
1dfbb10c5330ce865a872a05a84011a4c98d1f2d,LEO SHAVERMA BAR,"{'compound_code': 'W9P6+6M Tsentralny District, Saint Petersburg, Russia', 'global_code': '9GFGW9P6+6M'}",,4.8,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",18.0,59.93562499999999,30.361675,['Площадь Восстания'],0.4672855139906011,54,52,29,60,108,0,86.39999999999999,2.0869543468988656
e03da01c41de6eaf4afb71af32ffed35381d465a,Microphone,"{'compound_code': 'W9Q5+9F Tsentralny District, Saint Petersburg, Russia', 'global_code': '9GFGW9Q5+9F'}",,4.3,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",11.0,59.9384166,30.3586793,['Чернышевская'],0.6868534803643832,40,37,23,57,103,0,47.3,1.9701840212066164
44d8662b2a31002d14ac08847280050c88d49a4b,Kofe Narushiteli,"{'compound_code': 'W9R4+QV Tsentralny District, Saint Petersburg, Russia', 'global_code': '9GFGW9R4+QV'}",,4.6,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",38.0,59.94193620000001,30.35723149999999,['Чернышевская'],0.3243476192697043,26,33,10,44,124,0,174.79999999999998,2.024932111030923
c45f504c9faa0492b53c09949a026c38325a9b15,shaverma 1,"{'compound_code': 'R569+CC Staro-Panovo, Saint Petersburg, Russia', 'global_code': '9GFGR569+CC'}",,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",30.0,59.8110679,30.1685687,['Проспект Ветеранов'],5.7831908648535775,0,0,0,0,1,0,126.0,16.261337720881862
bdf71badc979d099996c5199e8da41557a2f4bda,"FULLHOUSE, live beer stores","{'compound_code': 'R873+45 Moskovskiy, Saint Petersburg, Russia', 'global_code': '9GFGR873+45'}",,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.81285399999999,30.3029019,['Звёздная'],3.4669205227782087,0,0,0,0,4,0,15.0,13.572864237952174
f4cb067c22f83760b5776965788e536034568455,Shaverma,"{'compound_code': 'R77V+C9 Moskovskiy, Saint Petersburg, Russia', 'global_code': '9GFGR77V+C9'}",,3.6,"['cafe', 'food', 'point_of_interest', 'establishment']",23.0,59.8135771,30.2934999,['Звёздная'],3.834397033838672,4,0,0,4,4,0,82.8,13.549901458758788
59cd79259cd0531deec2547e30533a3906cbce98,Kofe-Bar My,"{'compound_code': 'R857+2Q Moskovskiy, Saint Petersburg, Russia', 'global_code': '9GFGR857+2Q'}",,3.2,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,59.807591,30.31441499999999,['Звёздная'],3.472449953643192,0,1,2,0,9,0,19.200000000000003,14.116618763559853
