name,price_level,rating,types,user_ratings_total,lat,lng,closest_metro,closest_metro_km,Quantity of nearest museum,Quantity of nearest art_gallery,Quantity of nearest shopping_mall,Quantity of nearest places_tourist_attraction,Quantity of nearest same establishment,opportunity_take_away,"distance_to_center, km",result
Olivka Pekarnya,,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,59.940211100000006,30.4757466,['Ладожская'],2.204986066215779,0,0,10,2,17,0,8.484488049827839,25.200000000000003
shaverma Bar,,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",11.0,59.93972900000001,30.49421499999999,['Проспект Большевиков'],2.6929521740231936,2,0,8,0,11,0,9.510541289958612,44.0
Stolov-ka,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.935364,30.489348,['Проспект Большевиков'],2.1387302540845643,0,0,2,0,6,0,9.21998876978448,5.0
Kafe Ararat,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",37.0,59.93824710000001,30.6103979,['Улица Дыбенко'],7.887759089672008,0,0,0,0,1,0,15.99260677412645,162.8
Abordazh,2.0,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",168.0,59.94481629999999,30.2059071,['Приморская'],1.6525693052253148,0,0,0,0,3,0,6.73184094733726,705.6
Beseda,1.0,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",96.0,59.9441873,30.23343359999999,['Приморская'],0.4893213022290082,4,0,10,6,34,0,5.208629881321906,412.79999999999995
Kafe,2.0,3.8,"['cafe', 'food', 'point_of_interest', 'establishment']",270.0,59.948738,30.2311941,['Приморская'],0.1874455019876519,4,1,9,8,24,0,5.459053934781932,1026.0
Kofebon,,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.9470956,30.2301047,['Приморская'],0.29518229638549603,4,1,9,4,23,0,5.466440282416781,14.100000000000001
"Summer Cafe ""Lighthouse"" Novosmolenskaya",,2.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.94824320000001,30.22991780000001,['Приморская'],0.2597236181325752,4,1,9,7,24,0,5.511359228169392,5.0
Пышки как раньше,,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",8.0,59.948505,30.2331691,['Приморская'],0.07596344568471439,4,3,9,8,26,0,5.34594675933489,32.0
Kofeinn,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",7.0,59.94840490000001,30.2336144,['Приморская'],0.05328380750962256,5,3,9,8,26,0,5.318870416839316,30.800000000000004
Cofix,1.0,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",123.0,59.94878019999999,30.2333421,['Приморская'],0.0711640038314885,5,3,9,8,26,0,5.345933792473825,528.9
АМ!,,5.0,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",1.0,59.949125,30.2336429,['Приморская'],0.0813098391847136,5,5,9,8,26,0,5.3417257954268464,5.0
Kofebon,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",31.0,59.949884,30.23183499999999,['Приморская'],0.2118281324053652,4,3,9,8,27,0,5.464249828544096,142.6
Kafe Vostochnoy Kukhni,,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,59.9493559,30.23437799999999,['Приморская'],0.09072134774326968,5,5,9,8,26,0,5.310799215054522,19.2
"Kafe ""U Volshebnika""",1.0,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",75.0,59.943872999999996,30.2272983,['Приморская'],0.6588767716182838,4,0,6,10,28,0,5.537275849011495,352.5
Metro,1.0,3.9,"['cafe', 'food', 'point_of_interest', 'establishment']",29.0,59.948322,30.23487,['Приморская'],0.03141439040998085,5,5,9,8,26,0,5.249134711856331,113.1
Artyomovskye bakery,2.0,4.2,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",78.0,59.94524699999999,30.237122,['Приморская'],0.3950431361425599,7,0,9,5,26,0,5.034872070685013,327.6
Bistro Stolovaya,,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",14.0,59.94889369999999,30.2351977,['Приморская'],0.054022408661345216,5,5,9,8,26,0,5.251128841246902,57.39999999999999
Lyudi Lyubyat,,4.5,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",108.0,59.94900199999999,30.234928000000004,['Приморская'],0.055651339267982894,5,5,9,8,26,0,5.26921160202917,486.0
Kofe-Bar My,,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",30.0,59.94880329999999,30.23472599999999,['Приморская'],0.03087199224854025,5,5,9,8,26,0,5.273078350046991,129.0
"Cafe-dining ""Ural bridge""",2.0,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",138.0,59.9495969,30.2668727,['Василеостровская'],0.9747338266904404,9,8,8,8,49,0,3.6473947447341013,565.8
Lyubava,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.94968240000001,30.2639022,['Василеостровская'],1.0960697119227427,11,7,6,8,47,0,3.7990425428289827,9.0
Nkanak,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",31.0,59.9481069,30.2529037,['Приморская'],1.0282335906992113,12,9,5,8,24,0,4.289358341189691,142.6
Vkusnyy Obed,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",13.0,59.94750179999999,30.2671036,['Василеостровская'],0.8009946784400541,11,9,6,8,65,0,3.5319742043567204,58.5
Fleur De Cafe,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.94856000000001,30.263473,['Василеостровская'],1.0332486867334136,11,7,8,9,48,0,3.7656765064320643,5.0
Pekarnya Nkanak,,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.94931589999999,30.2638977,['Василеостровская'],1.0686350618664302,11,7,6,8,48,0,3.7809188560199547,4.0
Bon ape,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.94935839999999,30.2630063,['Василеостровская'],1.1093454106697411,11,7,6,9,47,0,3.827679205783363,9.0
Schastlivy Vmeste,,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",13.0,59.94498559999999,30.2659929,['Василеостровская'],0.7176518539158985,19,10,4,14,77,0,3.4821317796773252,53.3
Smola,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",20.0,59.94924489999999,30.2672227,['Василеостровская'],0.9322378947331738,9,8,8,8,49,0,3.6117888608510094,92.0
Tsekh85,,3.7,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.94588699999999,30.26903900000001,['Василеостровская'],0.6071226165212028,13,11,3,13,76,0,3.360418020104308,11.100000000000001
"Cafe Bistro ""Golden Nail""",,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",39.0,59.9458885,30.269724199999995,['Василеостровская'],0.5754387870053332,13,11,3,13,79,0,3.3252059258299402,175.5
Bsm,,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,59.94590400000001,30.269874,['Василеостровская'],0.5696029675483584,13,11,3,13,79,0,3.3181802142635064,28.799999999999997
Coffee Like,2.0,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.94654359999999,30.27084719999999,['Василеостровская'],0.5739086326996545,14,11,5,13,85,0,3.2972793675641636,15.0
Stolovaya,,2.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.9489568,30.258737300000004,['Василеостровская'],1.2765603380067971,10,9,6,8,39,0,4.02472861628122,5.0
Relaks,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",60.0,59.9437922,30.2634701,['Василеостровская'],0.8266803691866711,19,5,4,16,73,0,3.572880935151449,270.0
Stolovaya,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.94350539999999,30.2626097,['Василеостровская'],0.8715230308408692,19,4,4,16,68,0,3.6095121009401314,5.0
"Kafe ""Chastichka Vostoka""",,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",9.0,59.94352199999999,30.2614853,['Василеостровская'],0.9343407212732334,19,4,4,16,59,0,3.670286787579878,38.699999999999996
Трубочерия Vafelka & Coffee,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,59.94406599999999,30.2711479,['Василеостровская'],0.4119197252918406,21,16,4,22,104,0,3.176345871782733,25.0
Shaverma 24,,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",154.0,59.94271519999999,30.258899800000002,['Василеостровская'],1.0767758805970733,19,4,1,14,42,0,3.785655215968811,646.8000000000001
Kafe,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,59.94669720000001,30.2536915,['Приморская'],1.0907288974287126,12,7,2,8,25,0,4.193670862891523,20.0
Lamadzho,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",25.0,59.94786920000001,30.2532378,['Приморская'],1.0484569820840206,12,9,5,8,27,0,4.262428111072096,114.99999999999999
Koffein,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.9414536,30.2604423,['Василеостровская'],1.0038288484825786,19,4,1,12,44,0,3.668800613305518,10.0
ChefBurgers,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.9472654,30.28436199999999,['Спортивная-1'],0.3837322450812502,33,15,2,29,77,0,2.6725219392054416,9.0
Baggins Coffee,2.0,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",25.0,59.94492160000001,30.2839,['Василеостровская'],0.3903235149298885,32,18,4,35,98,0,2.5626330505073645,114.99999999999999
La Sicilia,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.94331560000001,30.2847647,['Василеостровская'],0.37176020043126856,40,20,4,51,92,0,2.4402867257036065,5.0
Merkhaba,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.9430139,30.28585559999999,['Василеостровская'],0.4303181649004469,48,20,4,59,88,0,2.370859817769254,5.0
Belochka,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",44.0,59.9430614,30.2789749,['Василеостровская'],0.0480007795497523,28,21,5,35,109,0,2.7275323242606775,193.60000000000002
Bushe,2.0,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",1203.0,59.94305500000001,30.277575899999995,['Василеостровская'],0.03557617993820416,26,20,5,31,112,0,2.8003287817072424,5413.5
Chaynikoff,2.0,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",451.0,59.94146329999999,30.2809724,['Василеостровская'],0.2265477789117223,36,21,4,51,99,0,2.5621193015167223,1939.3
Shtolle,2.0,4.5,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",581.0,59.94606099999999,30.284893,['Спортивная-1'],0.4988806516874086,31,17,2,34,89,0,2.57637529714932,2614.5
Tea Studio on Vasilyevsky,,4.9,"['cafe', 'food', 'point_of_interest', 'establishment']",143.0,59.94094750000001,30.2803494,['Василеостровская'],0.2522468509212263,36,19,4,49,90,0,2.5778634733095176,700.7
Итальянская кофейня D'ORO,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",37.0,59.9471759,30.2810191,['Василеостровская'],0.4996390537598525,21,13,3,22,87,0,2.825952607023705,170.2
Kafe Sairme,,2.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.94722899999999,30.2842403,['Спортивная-1'],0.3903717609698711,33,15,2,29,76,0,2.676028588022041,5.0
Grand Kafe Kabanchik,,3.5,"['cafe', 'food', 'point_of_interest', 'establishment']",15.0,59.94728149999999,30.2843566,['Спортивная-1'],0.3822510512993357,29,15,2,25,76,0,2.6737520215528447,52.5
Coffee Moose,2.0,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.9472654,30.28436199999999,['Спортивная-1'],0.3837322450812502,33,15,2,29,77,0,2.6725219392054416,4.0
Kroytsberg,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",11.0,59.94711789999999,30.284413300000004,['Спортивная-1'],0.39739045547559737,33,15,2,30,76,0,2.66119799560693,50.599999999999994
LE MONITEUR Cafe,,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",78.0,59.9471053,30.2844458,['Спортивная-1'],0.3979230123737891,33,15,2,30,76,0,2.658911023125647,374.4
Yasmina,1.0,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",59.0,59.9460788,30.2815945,['Василеостровская'],0.4002200763671481,28,13,3,32,96,0,2.73725058567558,265.5
Кафе Арми,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.94663540000001,30.2850751,['Спортивная-1'],0.434633153337432,31,15,2,31,77,0,2.601142890310374,10.0
Восход by Fenster,,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",32.0,59.94847950000001,30.2801017,['Спортивная-1'],0.4565996038387459,16,10,3,17,78,0,2.9459270733643206,150.4
Atrium cafe,,3.3,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.948944,30.2780289,['Спортивная-1'],0.5447548573788165,16,6,3,15,68,0,3.071435511331899,9.899999999999999
Coffee Time,2.0,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",21.0,59.9446547,30.2842254,['Василеостровская'],0.3899042275066101,32,18,4,37,96,0,2.5327489796624696,96.6
Kofe S Soboy,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,59.94430209999999,30.2830437,['Василеостровская'],0.3130752624108729,32,18,4,37,100,0,2.5741776747309255,25.0
Gulu Kotokafe,,3.7,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,59.94825640000001,30.2763578,['Василеостровская'],0.6022297644808795,14,9,3,15,78,0,3.1115289100320243,22.200000000000003
"Кофейня ""В ЧЕМ ДЕЛО?""",,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,59.9445613,30.2866872,['Василеостровская'],0.5102724546037304,38,18,4,47,81,0,2.4063728092383405,18.0
Креативный штаб «Свободное Время»,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",7.0,59.94403190000001,30.2789271,['Василеостровская'],0.13037045488310658,26,16,5,33,110,0,2.7709290880999986,35.0
Kafe Bistro,,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",23.0,59.94725809999999,30.27468749999999,['Василеостровская'],0.520083320700471,14,13,3,15,85,0,3.1395249618688177,96.60000000000001
Lavka Pekarya,2.0,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",37.0,59.94679329999998,30.2747146,['Василеостровская'],0.4718137377378253,16,17,3,15,87,0,3.1145297853558547,159.1
Master Chiken,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.94723039999999,30.2744797,['Василеостровская'],0.5216895072202697,14,13,3,15,85,0,3.1483996316173903,5.0
Mimino,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",24.0,59.94397829999999,30.288108,['Василеостровская'],0.5683021816382999,50,18,4,61,73,0,2.3056161156130823,110.39999999999999
Kafe55,,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",12.0,59.9478872,30.2733348,['Василеостровская'],0.6148935876669943,12,11,5,11,77,0,3.239100830696028,48.0
Drink dreams КОФЕ С СОБОЙ,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,59.94797039999999,30.2732517,['Василеостровская'],0.6252608366092747,12,11,5,11,77,0,3.247565555841547,20.0
Nashe Kafe,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.9485331,30.272569,['Василеостровская'],0.6983684223008629,13,8,5,11,72,0,3.311006127924357,9.0
Biografiya Kofe,,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",30.0,59.9433654,30.288951,['Василеостровская'],0.6052007042142951,54,17,2,66,72,0,2.2321544517281455,144.0
Coolinar Cafe,,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",69.0,59.94358929999999,30.275013099999992,['Василеостровская'],0.1906959471224849,22,20,5,23,111,0,2.955367839910355,296.7
Dablbi,,3.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.94209300000001,30.2802197,['Василеостровская'],0.14799157502646762,34,21,4,41,107,0,2.6247236312728157,3.0
Coffee Bon,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.9440184,30.2737814,['Василеостровская'],0.2732338726597033,19,20,4,22,106,0,3.0367391375017827,5.0
Pechki-Lavochki,1.0,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",195.0,59.94701010000001,30.2709401,['Василеостровская'],0.6080594141061962,12,11,5,11,81,0,3.314587380462519,838.5
Testi,,3.5,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,59.94386020000001,30.296862600000008,['Спортивная-1'],0.898609033456085,58,9,0,78,42,0,1.8809589254247105,14.0
Vintazh,1.0,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",16.0,59.949609,30.302594899999995,['Спортивная-1'],0.6879107083779508,57,12,2,73,59,0,2.1073255313039017,72.0
Lastochka,2.0,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",134.0,59.949085,30.304475300000004,['Спортивная-1'],0.8076571266010819,62,8,0,71,46,0,1.9994880285857186,562.8000000000001
Garden Cafe,,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,59.94463520000001,30.29348520000001,['Спортивная-1'],0.7244661091826935,56,12,0,79,48,0,2.0855206184595225,28.799999999999997
Chaynaya,,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,59.9448338,30.2902003,['Спортивная-1'],0.6364113035207664,47,15,1,58,59,0,2.251864600476942,20.0
HOGAN Coffee,2.0,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",99.0,59.94484619999999,30.290172100000003,['Спортивная-1'],0.6346810189767358,47,15,1,58,59,0,2.2539317868151376,465.3
"Gастро Буфет ""Кронверкский мост""",,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.94958949999999,30.30578699999999,['Спортивная-1'],0.8550967697388708,57,6,0,69,45,0,2.007267397370762,10.0
Mziuri,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",29.0,59.95076100000001,30.29655459999999,['Спортивная-1'],0.3276558751632185,31,14,2,34,73,0,2.4160077034200547,127.60000000000001
Kafe Mokum,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.943613600000006,30.2960922,['Спортивная-1'],0.8967588785107522,64,9,0,85,43,0,1.9011462905992536,15.0
Tabla,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",9.0,59.94516379999999,30.2927122,['Спортивная-1'],0.6522250740215632,56,14,0,73,50,0,2.1543582978469464,45.0
Gazlayt Speshalti Kofe,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.94495449999999,30.29247659999999,['Спортивная-1'],0.6672756728950409,56,14,0,75,51,0,2.1521542468028043,10.0
Pacific Caribbean,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.9520363,30.2978392,['Спортивная-1'],0.3647742044807271,22,13,5,31,62,0,2.482482417262941,10.0
Булочная N24,,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",23.0,59.95232120000001,30.2971296,['Спортивная-1'],0.3262174654337734,22,13,5,31,65,0,2.531690522606888,92.0
"Bistro ""TUM-TUM""",,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.9448338,30.2902003,['Спортивная-1'],0.6364113035207664,47,15,1,58,59,0,2.251864600476942,5.0
Tsekh85,,4.7,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",23.0,59.952464,30.29606600000001,['Спортивная-1'],0.2691135646312192,17,13,5,27,65,0,2.5805210742247815,108.10000000000001
Cake Shop,,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",26.0,59.9524593,30.2949474,['Спортивная-1'],0.20754166986472566,21,13,5,30,63,0,2.619027442120591,122.2
Chaynaya,2.0,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",77.0,59.943447000000006,30.323885,['Гостиный Двор'],0.892802149966616,92,24,1,114,32,0,1.0308255594954485,354.2
Le Menu,2.0,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",443.0,59.9497222,30.30638889999999,['Спортивная-1'],0.8824715628757641,57,6,0,73,45,0,2.002735312478432,1949.2
"Kafe ""Leninigradskoye""",2.0,3.7,"['cafe', 'food', 'point_of_interest', 'establishment']",282.0,59.9508531,30.31952,['Горьковская'],0.6110307910363654,55,6,0,83,34,0,1.8758565948728905,1043.4
Kafe Ao Goznak,,3.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.95133879999999,30.3153271,['Горьковская'],0.5868417443122139,56,4,1,75,56,0,1.9765693199915502,3.0
Кофе кофейня Fresh Coffee,,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",31.0,59.942796,30.32116690000001,['Адмиралтейская'],0.8470530322673009,105,27,1,130,45,0,0.9752920353933019,145.70000000000002
Chbkafe,,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",25.0,59.941675,30.3204751,['Адмиралтейская'],0.7175591181003792,108,31,4,136,50,0,0.8621300688042188,102.49999999999999
Samovar,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.9439414,30.325745399999995,['Гостиный Двор'],0.9324511661751916,85,22,1,114,27,0,1.0878037343870806,15.0
Nastroyeniye Kofe,,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",7.0,59.942523400000006,30.3439494,['Чернышевская'],0.9120177324765842,72,30,8,91,61,0,1.4309767553508446,30.099999999999998
Kafe .malaya Oranzhereya,,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,59.944993200000006,30.3350478,['Гостиный Двор'],1.1360684254498852,69,20,0,82,30,0,1.3404542471951335,24.0
Spasibokofe,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",94.0,59.94680699999999,30.343772,['Чернышевская'],0.9277341414157386,41,21,6,60,52,0,1.771723792104783,432.4
Barklay,,4.9,"['cafe', 'food', 'point_of_interest', 'establishment']",10.0,59.9447183,30.3453326,['Чернышевская'],0.8062560771492607,50,24,7,71,68,0,1.6539338374652521,49.0
Shokoladnitsa,2.0,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",512.0,59.94270700000001,30.3481641,['Чернышевская'],0.6798482014328303,62,31,7,81,89,0,1.6294449908617317,2150.4
Dobryy Gruzin,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",232.0,59.9450522,30.35111440000001,['Чернышевская'],0.4860213097156109,41,28,9,54,93,0,1.9190958302740297,1020.8000000000001
In Georgia,2.0,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",185.0,59.9466924,30.3534029,['Чернышевская'],0.42726198921980135,30,22,8,41,91,0,2.1344263202466687,832.5
Mangal,2.0,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",131.0,59.94765009999999,30.3520979,['Чернышевская'],0.549344722560943,32,23,6,42,82,0,2.15252321091208,615.7
Tucano Coffee Ecuador,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",335.0,59.9441628,30.35222189999999,['Чернышевская'],0.4232928797970407,38,37,9,51,105,0,1.9082818077215613,1507.5
I love coffee SPb,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",50.0,59.9464084,30.3470891,['Чернышевская'],0.7372728962125282,41,24,6,55,73,0,1.8577016113505436,220.00000000000003
Tyul'pan,,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",31.0,59.94339240000001,30.3541243,['Чернышевская'],0.3404115192646949,38,39,10,53,111,0,1.9493244717754035,148.79999999999998
Cake & Breakfast,2.0,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",982.0,59.94311099999999,30.3537514,['Чернышевская'],0.3722339617313977,40,39,10,53,111,0,1.9151852094859023,4517.2
Kafe-Gostinaya Barkhat,,3.5,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",4.0,59.943744,30.347494,['Чернышевская'],0.691235660856457,61,30,7,77,83,0,1.6701846237831564,14.0
Knigi I Kofe,2.0,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",679.0,59.944637,30.34313509999999,['Чернышевская'],0.9289264045936078,58,25,7,80,54,0,1.5629179504783173,3123.3999999999996
Krasnyy Lis,2.0,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",248.0,59.94286700000001,30.3551389,['Чернышевская'],0.3194316551115315,34,36,10,46,115,0,1.9684484356258154,1016.8
Tuman,,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",92.0,59.94716349999999,30.3578907,['Чернышевская'],0.3083980768027098,28,20,6,46,85,0,2.362077394299678,395.59999999999997
GoHaRd Lounge,,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",37.0,59.9412308,30.3495032,['Чернышевская'],0.6824336130675287,61,42,11,86,88,0,1.6045178506621411,177.6
Avsteriya,2.0,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",224.0,59.945356,30.357133,['Чернышевская'],0.17136223213340665,27,28,8,40,97,0,2.2094981300524292,1008.0
Antikafe Soberis',,4.8,"['cafe', 'food', 'point_of_interest', 'establishment']",28.0,59.947667300000006,30.3526939,['Чернышевская'],0.5250765062942571,34,23,6,46,82,0,2.1778819513829184,134.4
Yestnyy,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.9467452,30.35203450000001,['Чернышевская'],0.4955122013759456,38,25,6,48,85,0,2.08098007942035,9.0
Dark Place Hookah,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",45.0,59.946052,30.3533189,['Чернышевская'],0.3963186242952743,38,28,9,48,93,0,2.084975589753379,206.99999999999997
Nevsky Coffee,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.945443,30.3524659,['Чернышевская'],0.4191138988622273,41,29,9,49,92,0,2.005237301886811,15.0
Tea cellar,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",20.0,59.94668799999999,30.356760099999992,['Чернышевская'],0.2903701113515761,25,24,8,40,87,0,2.2796881703979177,92.0
Legkoye Chuvstvo Goloda,2.0,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",479.0,59.9463833,30.3496548,['Чернышевская'],0.5999773805673365,40,24,6,50,82,0,1.9562585598602753,2107.6000000000004
Lyudilyubyat,,4.6,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",89.0,59.9463195,30.34897650000001,['Чернышевская'],0.6335373071402691,36,24,6,48,81,0,1.9241410722951064,409.4
SHAMAN COFFEE,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",12.0,59.9449414,30.3524687,['Чернышевская'],0.40943167636869227,42,29,9,52,99,0,1.9709425015275304,60.0
Coffee Boss,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,59.9449066,30.35247909999999,['Чернышевская'],0.4084669149243248,42,29,9,55,100,0,1.969053747975955,20.0
Baggins coffee,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.94790430000001,30.357862800000003,['Чернышевская'],0.3875102606578482,28,20,4,47,84,0,2.4122060035419763,5.0
PITA'S Кирочная 12,2.0,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",344.0,59.9441243,30.3537899,['Чернышевская'],0.3368393065883353,38,34,9,55,110,0,1.9778356529069219,1582.3999999999999
Kafe Ya Lyublyu Kofe,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.9465283,30.346996300000008,['Чернышевская'],0.7460734635678894,41,24,6,55,73,0,1.8639929473811645,10.0
My Friends PUB,2.0,4.8,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",494.0,59.94377410000001,30.354782300000004,['Чернышевская'],0.2912890511049936,40,36,9,55,110,0,2.003028916622583,2371.2
Кальянная Huqqa,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.94340620000001,30.35367190000001,['Чернышевская'],0.36336784086823465,38,39,9,53,111,0,1.9286692689327953,5.0
