name,price_level,rating,types,user_ratings_total,lat,lng,closest_metro,closest_metro_km,Quantity of nearest museum,Quantity of nearest art_gallery,Quantity of nearest shopping_mall,Quantity of nearest places_tourist_attraction,Quantity of nearest same establishment,opportunity_take_away,"distance_to_center, km",result
Coffee Mall,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",11.0,59.819001,30.317336,['Звёздная'],2.4064098011241057,0,0,9,0,10,0,12.840424461344805,48.400000000000006
Vkusnaya Shaverma,,4.0,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.82069440000001,30.3282428,['Звёздная'],1.840395613984668,0,0,6,0,17,0,12.647348754850228,8.0
Pekarnya Bukhanka,2.0,4.2,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",41.0,59.819560900000006,30.3274292,['Звёздная'],1.9665274825347467,0,0,6,0,14,0,12.772938266885603,172.20000000000002
Vse Doma,,5.0,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",1.0,59.81901600000001,30.325073100000004,['Звёздная'],2.0981482287018856,0,0,7,0,12,0,12.832606183402826,5.0
Kafe,,3.8,"['cafe', 'food', 'point_of_interest', 'establishment']",55.0,59.8151083,30.5122134,['Рыбацкое'],1.8834175250483225,0,0,0,0,1,0,16.930245041852896,209.0
Piratkhaus,1.0,3.4,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",93.0,59.8329074,30.14838880000001,['Проспект Ветеранов'],5.8699699322840475,0,0,4,2,11,0,14.985001515322839,316.2
Shaverma Vkusnaya,2.0,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",320.0,59.829214500000006,30.177471,['Проспект Ветеранов'],4.386845913250621,0,0,4,1,12,0,14.302245184703926,1312.0
Mini-Pekarnya,,3.7,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.8297181,30.1784952,['Проспект Ветеранов'],4.314527404788335,0,0,4,1,12,0,14.22332643565342,11.100000000000001
"Karat, Kafe",2.0,3.9,"['cafe', 'food', 'point_of_interest', 'establishment']",94.0,59.82859169999999,30.17403409999999,['Проспект Ветеранов'],4.591691824846633,0,0,3,0,10,0,14.4702746257659,366.59999999999997
Vostok,,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",25.0,59.824732,30.180160200000003,['Проспект Ветеранов'],4.435681875675798,0,0,6,0,8,0,14.63004253589561,110.00000000000001
Dudergofka,,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",207.0,59.8320155,30.18676899999999,['Проспект Ветеранов'],3.7947838304004575,0,0,10,1,10,0,13.749415049324895,890.0999999999999
Ploshchadka Dlya Otdykha,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.830107,30.188541,['Проспект Ветеранов'],3.768516940196783,0,0,10,1,10,0,13.871405293435568,10.0
Vecherniy Piter,2.0,4.4,"['cafe', 'food', 'point_of_interest', 'establishment']",218.0,59.83165160000001,30.18504110000001,['Проспект Ветеранов'],3.899297971750346,0,0,8,1,10,0,13.837382506117322,959.2
Bread Manor.,2.0,4.3,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",107.0,59.83344429999999,30.2188127,['Проспект Ветеранов'],2.061928627170768,1,0,9,2,9,0,12.688451951177372,460.09999999999997
Samaya Vkusnaya Shaverma,,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",75.0,59.82794690000001,30.2051816,['Проспект Ветеранов'],3.027995953940695,1,0,9,0,7,0,13.591990611726567,315.0
Bakery Volcheka,1.0,4.6,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",590.0,59.83271600000001,30.2022221,['Проспект Ветеранов'],2.948040430048002,1,0,11,1,11,0,13.216660436694834,2714.0
Stolovaya,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.8254179,30.30695159999999,['Звёздная'],2.5462124702694524,0,0,7,0,3,0,12.1589097512882,9.0
Khutorok,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",2.0,59.8322215,30.3125119,['Звёздная'],2.0838708944090887,0,0,4,0,2,0,11.381013363062747,9.0
"Polites, Kafe",2.0,3.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.82512800000001,30.326233,['Звёздная'],1.5919691496983783,0,0,7,0,16,0,12.152033743818686,3.0
Konditerskaya,,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.82774209999999,30.326898,['Звёздная'],1.413147114659982,0,0,3,0,9,0,11.861179483100033,14.100000000000001
Kafeteriy,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",8.0,59.8275581,30.3269048,['Звёздная'],1.4217945710436255,0,0,2,0,8,0,11.881681837268632,36.0
Khochu Puri,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.8274066,30.32692089999999,['Звёздная'],1.4285713667966449,0,0,1,0,8,0,11.898569660258588,5.0
Kafe Bar,,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,59.83236199999998,30.347433,['Звёздная'],0.15587339979539208,3,1,21,0,32,0,11.41841118141771,21.0
Bushe,2.0,4.4,"['cafe', 'bakery', 'food', 'point_of_interest', 'store', 'establishment']",286.0,59.83275039999999,30.347454100000004,['Звёздная'],0.1324036320451638,3,1,21,0,33,0,11.375549232395008,1258.4
Kafe M 10,,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",26.0,59.8269312,30.35080669999999,['Звёздная'],0.7046941406882279,3,0,12,0,13,0,12.041494973776427,106.6
Kharchevnya,,4.1,"['cafe', 'food', 'point_of_interest', 'establishment']",7.0,59.8238186,30.35570749999999,['Звёздная'],1.1025682668246328,0,0,4,0,2,0,12.421426033838532,28.699999999999996
Semeynoye Kafe Tim'yan,,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",36.0,59.83186239999999,30.3622048,['Звёздная'],0.7222088210318579,0,0,11,0,23,0,11.595645887993621,169.20000000000002
Sladkoyezhka,2.0,4.7,"['cafe', 'food', 'point_of_interest', 'establishment']",15.0,59.82845369999999,30.37912129999999,['Купчино'],0.2628409374096372,0,0,32,2,18,0,12.172336654579128,70.5
Al Petra,1.0,3.8,"['cafe', 'food', 'point_of_interest', 'establishment']",11.0,59.8290652,30.3780936,['Купчино'],0.1767013376296396,0,0,32,2,19,0,12.09198058115347,41.8
Pekarnya Biskotti,,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",1.0,59.8290772,30.3864066,['Купчино'],0.6239393288999423,0,0,36,2,28,0,12.214659806963253,5.0
Biskotti,,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']",4.0,59.82905880000001,30.386353000000003,['Купчино'],0.6212661273314766,0,0,36,2,28,0,12.21577358867511,18.0
Biskotti,,4.6,"['cafe', 'food', 'point_of_interest', 'establishment']",5.0,59.830186499999996,30.3849531,['Купчино'],0.5368888331071701,0,0,34,2,27,0,12.073105803378247,23.0
Vkusnaya Shaverma,2.0,4.2,"['cafe', 'food', 'point_of_interest', 'establishment']",227.0,59.8319076,30.3900842,['Купчино'],0.8538229864368267,0,0,26,2,27,0,11.974196199153958,953.4000000000001
shaverma Express,,4.3,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.82996329999999,30.3792653,['Купчино'],0.21701246024817986,0,0,34,2,26,0,12.011673305392573,12.899999999999999
"Кофе с собой ""В бигмаркете SPAR""",,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",16.0,59.82953240000001,30.3789356,['Купчино'],0.20225143735335205,0,0,34,2,23,0,12.05341099129383,80.0
Shakhrezada,,3.0,"['cafe', 'food', 'point_of_interest', 'establishment']",3.0,59.82750000000001,30.3789999,['Купчино'],0.33393426800487863,0,0,32,2,15,0,12.273519118069048,9.0
Coffee Like,2.0,5.0,"['cafe', 'food', 'point_of_interest', 'establishment']",7.0,59.83084299999999,30.378443000000008,['Купчино'],0.20122254255039265,0,0,34,2,26,0,11.905159656694643,35.0
Pyshki,,3.7,"['cafe', 'food', 'point_of_interest', 'establishment']",6.0,59.82932989999999,30.3777323,['Купчино'],0.14483922199459456,0,0,32,2,19,0,12.058392364930473,22.200000000000003
Al'-Shark,,2.4,"['cafe', 'food', 'point_of_interest', 'establishment']",12.0,59.82623239999999,30.3794589,['Купчино'],0.466509948880234,0,0,32,2,14,0,12.416714079323828,28.799999999999997
